file,precision,recall,f1_score
output_svm_param_3.csv,0.24751972592372284,0.27445422951040926,0.24325839925650142
output_svm_param_2.csv,0.2550370539433434,0.2737119141613524,0.24105814917961552
output_svm_param_1.csv,0.24898787677065487,0.28077338372249966,0.25308593167285853
output_svm_param_5.csv,0.25699292551803615,0.27672998414251493,0.2419248869827611
output_svm_param_4.csv,0.2623530486697671,0.2768161419846813,0.2524199614646739
output_svm_param_6.csv,0.24500868658694594,0.27493252361673415,0.24354250380260728
output_svm_param_7.csv,0.23697219065897965,0.27668690958164643,0.24319143699483187
output_svm_param_10.csv,0.2500251828955416,0.2824466111129854,0.25327908590206155
output_svm_param_9.csv,0.2637370850484689,0.2756654633784285,0.2475973052821178
output_svm_param_8.csv,0.25137166453410315,0.2732118758434548,0.24549747922514112
